iter	Passed	Remaining
858	7017	604
859	7023	596
860	7030	587
861	7037	579
862	7044	571
863	7051	563
864	7058	554
865	7065	546
866	7072	538
867	7079	530
868	7086	521
869	7093	513
870	7101	505
871	7107	497
872	7113	488
873	7119	480
874	7125	472
875	7131	464
876	7138	455
877	7145	447
878	7151	439
879	7158	431
880	7164	422
881	7172	414
882	7178	406
883	7187	398
884	7195	390
885	7201	382
886	7208	373
887	7215	365
888	7221	357
889	7228	349
890	7236	341
891	7242	332
892	7251	324
893	7260	316
894	7268	308
895	7275	300
896	7281	292
897	7288	284
898	7296	275
899	7303	267
900	7309	259
901	7314	251
902	7321	243
903	7328	235
904	7336	226
905	7342	218
906	7348	210
907	7354	202
908	7362	194
909	7370	186
910	7376	178
911	7382	169
912	7389	161
913	7396	153
914	7402	145
915	7408	137
916	7415	129
917	7421	121
918	7427	113
